id	pop	urban	black	white	asian	native	highschool	college	income	age
1001	55049	58	18.52	76.86	0.81	0.41	85.3	21.7	34167	37.8
1003	199510	57.72	9.32	86.43	0.67	0.68	87.6	26.8	30780	42.3
1005	26614	32.21	47.93	46.70	0.48	0.17	71.9	13.5	22508	38.7
1007	22572	31.65	21.21	76.95	0.06	0.36	74.5	10	31657	40.2
1009	57704	10.05	1.57	95.44	0.16	0.35	74.7	12.5	31435	40.8
1011	10552	48.63	75.50	21.81	0.80	0.80	74.7	12	24931	39.2
1013	20280	28.77	43.76	53.63	1.00	0.07	74.8	11	24789	40.6
1015	115883	66.3	20.53	74.88	0.93	0.33	78.5	16.1	29787	39.1
1017	34018	50.85	40.51	57.08	0.92	0.23	71.8	10.8	26008	43.1
1019	25897	14.26	4.67	93.28	0.42	0.59	73.4	10.5	28846	45.7
1021	43817	13.26	10.08	83.85	0.44	0.31	75.9	12.2	30818	38.7
1023	13287	0	42.58	56.41	0.05	0.02	71.1	10.9	26457	45.1
1025	24847	24.02	45.49	53.34	0.46	0.03	76.1	13.5	31541	42
1027	13483	0	14.78	82.90	0.00	0.92	71.4	9.5	29449	43.7
1029	14991	0	2.36	94.56	0.57	0.14	70.3	8.4	26734	41.5
1031	50991	52.8	17.19	76.38	1.22	0.83	79.3	22.1	31113	39.3
1033	54377	56.11	15.69	79.77	0.47	0.60	80.1	16.4	30340	42.4
1035	12697	19.05	46.31	51.93	0.11	0.15	71.3	9.7	26610	44
1037	10864	0	32.36	66.31	0.00	0.07	73.1	10.6	25725	44.9
1039	37729	30.35	13.11	84.50	0.47	0.34	76.5	13.1	24116	42.9
1041	13896	0	23.83	71.50	1.67	0.89	73.7	10.1	25530	41.6
1043	81316	26.76	1.11	95.86	0.61	0.52	76.9	13.8	27931	40.5
1045	49607	49.11	19.67	74.43	1.02	0.59	82.2	17.5	30568	36.9
1047	41426	54.36	69.52	28.69	0.39	0.22	76.8	14.3	25466	38.9
1049	70937	9.87	1.53	87.20	0.30	1.38	68.1	10.9	25403	39.3
1051	80957	45.81	21.36	75.37	0.56	0.26	83.8	20.2	32082	38.3
1053	37875	36.49	32.39	61.92	0.11	3.48	73	10.9	26349	39.9
1055	103363	62.52	15.41	81.29	0.68	0.46	81.2	15.8	28698	40.9
1057	16783	19.77	12.54	85.63	0.27	0.00	74.7	9.5	27964	43.6
1059	31573	29.63	4.52	89.10	0.32	0.99	69.6	11.8	24283	39.1
1061	26765	10.36	9.60	86.81	0.38	0.47	72.3	8	23616	42
1063	8587	0	81.25	17.14	0.16	0.41	72.6	9.9	21534	41.3
1065	15159	10.83	58.33	39.99	0.11	0.32	69.9	10	23401	39.7
1067	17187	12.25	27.89	70.48	0.00	0.00	76.1	15	28395	43.2
1069	103891	66.2	26.64	69.62	0.83	0.41	81.9	19	29296	39.3
1071	52608	22.98	3.29	91.14	0.37	0.85	74	12	26398	42.8
1073	659096	90.17	42.52	52.42	1.51	0.22	86.6	28.8	33518	37.5
